split,mode,source_count,total_sample_bytes,total_sample_bases,total_theoretical_bits,total_theoretical_bits_per_base,total_arithmetic_coded_bytes,total_arithmetic_bits_per_base,total_ascii_bytes,total_two_bit_pack_bytes,total_gzip_bytes,total_bz2_bytes,total_lzma_bytes,total_probability_compute_seconds,total_arithmetic_encode_seconds,total_compression_process_seconds,total_compression_bytes_per_second,total_compression_bases_per_second
train,windows_nonoverlap,1,100000,99999,188599.865234375,1.8860175125188752,23585,1.886818868188682,100000,25000,27817,26629,25732,0.5449162120348774,0.5957183910068125,1.1406346030416898,87670.49476960769,87669.61806465998
val,windows_nonoverlap,1,100000,99999,187187.45263671875,1.8718932452996404,23409,1.872738727387274,100000,25000,28037,26822,26196,0.025179198011755943,0.5726582409697585,0.5978374389815144,167269.55101768405,167267.87832217387
test,windows_nonoverlap,1,100000,99999,189422.5146484375,1.8942440889252643,23688,1.895058950589506,100000,25000,28409,26828,26684,0.025466257007792592,0.5554339460213669,0.5809002030291595,172146.60879534984,172144.88732926187
