split,mode,source_count,total_sample_bytes,total_sample_bases,total_theoretical_bits,total_theoretical_bits_per_base,total_arithmetic_coded_bytes,total_arithmetic_bits_per_base,total_ascii_bytes,total_two_bit_pack_bytes,total_gzip_bytes,total_bz2_bytes,total_lzma_bytes,total_probability_compute_seconds,total_arithmetic_encode_seconds,total_compression_process_seconds,total_compression_bytes_per_second,total_compression_bases_per_second
train,train_windows_nonoverlap,17,1522939,1522923,2855713.9372558594,1.875153200296968,357120,1.8759714049889586,1522939,380736,430272,409264,402936,207.9626870000502,9.68351329996949,217.6462003000197,6997.314898678073,6997.24138487458
val,train_windows_nonoverlap,17,1369772,1369755,2559061.1123657227,1.8682619244797227,320017,1.8690466543286939,1369772,342444,390745,368930,366916,183.72655150014907,18.8048270001309,202.53137850027997,6763.258168403305,6763.174230792621
test,train_windows_nonoverlap,17,1369776,1369758,2575944.578186035,1.880583707622832,322124,1.8813483841671303,1369776,342446,389928,368852,365640,184.94825739978114,14.241142800194211,199.18940019997535,6876.751466819114,6876.661100564776
