split,mode,source_count,total_sample_bytes,total_sample_bases,total_theoretical_bits,total_theoretical_bits_per_base,total_arithmetic_coded_bytes,total_arithmetic_bits_per_base,total_ascii_bytes,total_two_bit_pack_bytes,total_gzip_bytes,total_bz2_bytes,total_lzma_bytes,total_model_forward_seconds,total_softmax_seconds,total_data_transfer_seconds,total_arithmetic_encode_seconds,total_gpu_prefix_aggregate_seconds,total_cpu_small_alphabet_quantize_seconds,total_compression_process_seconds,total_compression_bytes_per_second,total_compression_bases_per_second,total_emitted_arithmetic_symbol_count,total_core_model_theoretical_bits,total_tail_base_count,total_tail_side_info_bits,total_compression_symbols_per_second,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,arithmetic_coding_mode,arithmetic_merge_size
train,train_windows_nonoverlap,17,921959,921957,1719034.4462890625,1.8645494814715464,214935,1.8650327509851328,921959,230491,263599,248435,245696,1.671691045165062,0.0013162819668650627,0.7243623305112123,7.039610284613445,0.0,3.439772497629747,9.436979942256585,97696.40347243758,97696.19154022916,307336,1719034.4462890625,0,0,32567.198603847977,32768,127,0.01,0.003875732421875,model_symbol,3
val,train_windows_nonoverlap,17,867319,867315,1629204.5637207031,1.8784461974261983,203702,1.8789205767224135,867319,216831,245688,230553,229976,1.0158077573869377,0.0011706522200256586,0.6761993989348412,6.604476668871939,0.0,3.2362984984647483,8.297654477413744,104525.80332922353,104525.32126528474,289122,1629204.5637207031,0,0,34843.82252683472,32768,127,0.01,0.003875732421875,model_symbol,3
test,train_windows_nonoverlap,17,867321,867318,1632082.6640625,1.8817580911067222,204062,1.8822346590293295,867321,216831,250137,234734,234212,1.013360591372475,0.0011404368560761213,0.6762206610292196,6.60934828594327,0.0,3.2376136044040322,8.30006997520104,104495.62504790716,104495.26360517126,289123,1632082.6640625,0,0,34833.80271056052,32768,127,0.01,0.003875732421875,model_symbol,3
