split,mode,source_count,total_sample_bytes,total_sample_bases,total_theoretical_bits,total_theoretical_bits_per_base,total_arithmetic_coded_bytes,total_arithmetic_bits_per_base,total_ascii_bytes,total_two_bit_pack_bytes,total_gzip_bytes,total_bz2_bytes,total_lzma_bytes,total_probability_compute_seconds,total_arithmetic_encode_seconds,total_compression_process_seconds,total_compression_bytes_per_second,total_compression_bases_per_second
train,train_windows_nonoverlap,1,100000,99999,158086.345703125,1.5808792658239081,19771,1.5816958169581696,100000,25000,27817,26629,25732,0.6264328540419228,0.537219490041025,1.1636523440829478,85936.31981965205,85935.46045645386
val,train_windows_nonoverlap,1,100000,99999,158895.74340820312,1.5889733238152695,19869,1.5895358953589536,100000,25000,28037,26822,26196,0.019968531967606395,0.5030812460463494,0.5230497780139558,191186.39220095766,191184.48033703567
test,train_windows_nonoverlap,1,100000,99999,176259.04150390625,1.7626080411194738,22040,1.7632176321763218,100000,25000,28409,26828,26684,0.013775673985946923,0.5086028880323283,0.5223785620182753,191432.05190817447,191430.13758765536
