split,mode,source_count,total_sample_bytes,total_sample_bases,total_theoretical_bits,total_theoretical_bits_per_base,total_arithmetic_coded_bytes,total_arithmetic_bits_per_base,total_ascii_bytes,total_two_bit_pack_bytes,total_gzip_bytes,total_bz2_bytes,total_lzma_bytes,total_model_forward_seconds,total_softmax_seconds,total_data_transfer_seconds,total_arithmetic_encode_seconds,total_gpu_prefix_aggregate_seconds,total_cpu_small_alphabet_quantize_seconds,total_compression_process_seconds,total_compression_bytes_per_second,total_compression_bases_per_second,total_emitted_arithmetic_symbol_count,total_core_model_theoretical_bits,total_tail_base_count,total_tail_side_info_bits,total_compression_symbols_per_second,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,arithmetic_coding_mode,arithmetic_merge_size
train,windows_nonoverlap,149,14381199,14381052,16986535.11596489,1.1811747232375551,2124757,1.181975838763395,14381199,3595303,2752653,2659374,2512920,16.777785206998487,0.020127490999584552,0.5208080249885825,83.46526078499664,0.0,52.931792520003,100.7839815079833,142693.30090775224,142691.84234263308,4793833,16986535.11596489,0,0,47565.425857086935,32768,127,0.01,0.003875732421875,model_symbol,3
val,windows_nonoverlap,149,12287414,12287265,19560544.578490734,1.591936413717026,2445937,1.5925021556872094,12287414,3071867,3315656,3165335,3052392,14.41915773300434,0.017770029999610415,0.44210497298672635,74.66771744600237,0.0,45.36906690501064,89.54675018199305,137217.86636619756,137216.20243088226,4095904,19560544.578490734,0,0,45740.39807894274,32768,127,0.01,0.003875732421875,model_symbol,3
test,windows_nonoverlap,149,12287458,12287301,19208804.765009403,1.5633054618755904,2401918,1.5638376564552297,12287458,3071874,3257128,3114280,2991940,14.342582273998687,0.017594865001228754,0.4485056109870129,74.72128961999442,0.0,45.43593851799551,89.52997236998135,137244.07228924692,137242.3186865612,4095916,19208804.765009403,0,0,45749.10380932192,32768,127,0.01,0.003875732421875,model_symbol,3
