species,raw_bytes,sequence_bytes,removed_non_acgt,skipped_header_lines,sample_bases,chunk_count,padding_bases,latent_shape,residual_nonzeros,residual_density,csr_residual_bytes,fpzip_latent_bytes,paper_compressed_bytes,compression_ratio,bits_per_base,side_info_bytes,header_huffman_bytes,compression_seconds,decompression_seconds,exact_reconstruction,artifact_dir
EsCo,4641652,4641652,0,0,4641652,3621,470,"[3621, 51]",3183988,0.6858906336369445,19119426,683377,19802803,4.266326514783961,34.130612118271685,0,0,0.5612932000076398,0.11036679999961052,True,outputs\dna_gencoder_dnacorpus\prokaryotic_dnacorpus\artifacts\prokaryotic_dnacorpus\EsCo
YeMi,73689,73689,0,0,73689,58,667,"[58, 51]",53079,0.7138495884662973,319720,11136,330856,4.489896728141242,35.91917382512994,0,0,0.019057500001508743,0.0023185999889392406,True,outputs\dna_gencoder_dnacorpus\prokaryotic_dnacorpus\artifacts\prokaryotic_dnacorpus\YeMi
BuEb,18940,18940,0,0,18940,15,290,"[15, 51]",13590,0.7067082683307332,82614,2904,85518,4.515205913410771,36.12164730728617,0,0,0.01447369999368675,0.0015850000054342672,True,outputs\dna_gencoder_dnacorpus\prokaryotic_dnacorpus\artifacts\prokaryotic_dnacorpus\BuEb
AgPh,43970,43970,0,0,43970,35,900,"[35, 51]",31856,0.7099621127702251,192290,6688,198978,4.525312713213554,36.202501705708436,0,0,0.02336559999093879,0.001847699997597374,True,outputs\dna_gencoder_dnacorpus\prokaryotic_dnacorpus\artifacts\prokaryotic_dnacorpus\AgPh
