split,mode,source_count,total_sample_bytes,total_sample_bases,total_theoretical_bits,total_theoretical_bits_per_base,total_arithmetic_coded_bytes,total_arithmetic_bits_per_base,total_ascii_bytes,total_two_bit_pack_bytes,total_gzip_bytes,total_bz2_bytes,total_lzma_bytes,total_probability_compute_seconds,total_arithmetic_encode_seconds,total_compression_process_seconds,total_compression_bytes_per_second,total_compression_bases_per_second
train,windows_nonoverlap,9,900000,900000,1687420.1069335938,1.8749112299262152,211357,1.878728888888889,900000,225000,254984,242163,239196,0.4774054290319327,7.922216894046869,8.399622323078802,107147.67466712878,107147.67466712878
val,windows_nonoverlap,9,900000,900000,1696432.3443603516,1.8849248270670573,212483,1.8887377777777778,900000,225000,256231,242894,240964,0.25604836409911513,7.880901834927499,8.136950199026614,110606.5513474155,110606.5513474155
test,windows_nonoverlap,9,900000,900000,1681968.3790283203,1.8688537544759114,210678,1.8726933333333333,900000,225000,256457,242129,241240,0.2579407079028897,7.914369106001686,8.172309813904576,110127.98345808146,110127.98345808146
