split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_coding_mode,arithmetic_merge_size,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,emitted_arithmetic_symbol_count,core_model_theoretical_bits,tail_base_count,tail_side_info_bits,gpu_prefix_aggregate_seconds,cpu_small_alphabet_quantize_seconds,data_transfer_seconds,arithmetic_encode_seconds,compression_process_seconds,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,windows_nonoverlap,OrSa,60000,60000,1.9206753011067708,1.9212,base_prefix_exact_gpu_cpu,3,32768,126,0.01,0.00384521484375,20002,,,,0.10336745530366898,0.16951970010995865,0.0035330280661582947,0.4426337257027626,1.993322066962719,60000,15000,17639,16438,16512,0.9606,0.24015,0.8168830432564205
train,windows_nonoverlap,HoSa,60000,60000,1.6378358032226563,1.6386666666666667,base_prefix_exact_gpu_cpu,3,32768,126,0.01,0.00384521484375,20002,,,,0.010785140097141266,0.18714328110218048,0.003546297550201416,0.37643591314554214,0.4453880563378334,60000,15000,16995,16137,15716,0.8193333333333334,0.20483333333333334,0.7231538687849367
train,windows_nonoverlap,DaRe,60000,60000,1.872733642578125,1.8733333333333333,base_prefix_exact_gpu_cpu,3,32768,126,0.01,0.00384521484375,20002,,,,0.009563513100147247,0.17501386255025864,0.003282018005847931,0.36482515186071396,0.4305293411016464,60000,15000,14457,15181,12852,0.9366666666666666,0.23416666666666666,0.971847547900671
train,windows_nonoverlap,ScPo,60000,60000,1.9414934611002603,1.9418666666666666,base_prefix_exact_gpu_cpu,3,32768,126,0.01,0.00384521484375,20002,,,,0.010515585541725159,0.18076345324516296,0.003458663821220398,0.38397500663995743,0.4491303861141205,60000,15000,17448,16398,16336,0.9709333333333333,0.24273333333333333,0.8347088491517652
train,windows_nonoverlap,EsCo,60000,60000,1.923968416341146,1.9246666666666667,base_prefix_exact_gpu_cpu,3,32768,126,0.01,0.00384521484375,20002,,,,0.009508922696113586,0.16801095008850098,0.0032997354865074158,0.3471115455031395,0.4094962626695633,60000,15000,17715,16300,16612,0.9623333333333334,0.24058333333333334,0.8148461755574372
train,windows_nonoverlap,YeMi,44213,44211,1.8326674259870281,1.83338988034652,base_prefix_exact_gpu_cpu,3,32768,126,0.01,0.00384521484375,14739,,,,0.007354758679866791,0.12881263345479965,0.002668134868144989,0.2626868784427643,0.32976697385311127,44213,11054,12547,11797,11772,0.91669494017326,0.22916336824011038,0.8075237108472145
train,windows_nonoverlap,BuEb,11364,11364,1.9654376020904831,1.9648011263639564,base_prefix_exact_gpu_cpu,3,32768,126,0.01,0.00384521484375,3790,,,,0.002168901264667511,0.03254881501197815,0.0007221326231956482,0.06423263996839523,0.10049756616353989,11364,2841,3535,3178,3392,0.9824005631819782,0.24560014079549455,0.7895332390381895
train,windows_nonoverlap,AgPh,26382,26382,1.9370108766304914,1.9376847850807368,base_prefix_exact_gpu_cpu,3,32768,126,0.01,0.00384521484375,8796,,,,0.004518434405326843,0.08236971497535706,0.0015318244695663452,0.16699596494436264,0.2045045644044876,26382,6596,7933,7240,7472,0.9688423925403684,0.2422105981350921,0.8054960292449262
train,windows_nonoverlap,GaGa,60000,60000,1.8716193155924479,1.8721333333333334,base_prefix_exact_gpu_cpu,3,32768,126,0.01,0.00384521484375,20002,,,,0.01043529063463211,0.1930174008011818,0.0034772977232933044,0.3879058286547661,0.45274099707603455,60000,15000,17079,16298,15948,0.9360666666666667,0.23401666666666668,0.8221207330639967
train,windows_nonoverlap,DrMe,60000,60000,1.8972338297526041,1.8978666666666666,base_prefix_exact_gpu_cpu,3,32768,126,0.01,0.00384521484375,20002,,,,0.010293416678905487,0.17643073946237564,0.0033956244587898254,0.36537574976682663,0.43090126663446426,60000,15000,17111,16264,15740,0.9489333333333333,0.23723333333333332,0.8318625445619777
train,windows_nonoverlap,EnIn,60000,60000,1.8867184977213542,1.8872,base_prefix_exact_gpu_cpu,3,32768,126,0.01,0.00384521484375,20002,,,,0.010227560997009277,0.17602204531431198,0.0034567415714263916,0.3624351769685745,0.42471446841955185,60000,15000,17354,16196,16260,0.9436,0.2359,0.8156044715915639
train,windows_nonoverlap,PlFa,60000,60000,1.8493277872721354,1.8498666666666668,base_prefix_exact_gpu_cpu,3,32768,126,0.01,0.00384521484375,20002,,,,0.009836748242378235,0.17219742387533188,0.0034527406096458435,0.3528190478682518,0.41587547212839127,60000,15000,16387,15862,15196,0.9249333333333334,0.23123333333333335,0.8466467321657412
train,windows_nonoverlap,HePy,60000,60000,1.8934659342447917,1.894,base_prefix_exact_gpu_cpu,3,32768,126,0.01,0.00384521484375,20002,,,,0.01056673377752304,0.18139957636594772,0.003501884639263153,0.3716820478439331,0.4399914816021919,60000,15000,17149,16132,16072,0.947,0.23675,0.8283281824013062
train,windows_nonoverlap,AeCa,60000,60000,1.9629978922526041,1.9636,base_prefix_exact_gpu_cpu,3,32768,126,0.01,0.00384521484375,20002,,,,0.010158330202102661,0.17391488701105118,0.00347321480512619,0.3631236255168915,0.42782799154520035,60000,15000,17801,16386,16700,0.9818,0.24545,0.8273130722993091
train,windows_nonoverlap,HaHi,60000,60000,1.810442948404948,1.8112,base_prefix_exact_gpu_cpu,3,32768,126,0.01,0.00384521484375,20002,,,,0.01049456000328064,0.18438027054071426,0.003537788987159729,0.3751487135887146,0.44806602597236633,60000,15000,17222,15955,16148,0.9056,0.2264,0.7887585646266403
train,windows_nonoverlap,AnCa,60000,60000,1.7985666015625,1.7990666666666666,base_prefix_exact_gpu_cpu,3,32768,126,0.01,0.00384521484375,20002,,,,0.00979980081319809,0.17234362661838531,0.003462560474872589,0.3535302132368088,0.41710058599710464,60000,15000,17422,16298,16268,0.8995333333333333,0.22488333333333332,0.774480541843646
train,windows_nonoverlap,WaMe,60000,60000,1.9492248209635417,1.9496,base_prefix_exact_gpu_cpu,3,32768,126,0.01,0.00384521484375,20002,,,,0.009779118001461029,0.1745051145553589,0.0033540576696395874,0.35931019484996796,0.42426733672618866,60000,15000,17805,16375,16700,0.9748,0.2437,0.8212299915754002
val,windows_nonoverlap,OrSa,60000,60000,1.920028019205729,1.9205333333333334,base_prefix_exact_gpu_cpu,3,32768,126,0.01,0.00384521484375,20002,,,,0.010551445186138153,0.18431756645441055,0.003513716161251068,0.38388488441705704,0.4504177048802376,60000,15000,17607,16481,16400,0.9602666666666667,0.24006666666666668,0.8180837167035838
