species,raw_bytes,sequence_bytes,removed_non_acgt,skipped_header_lines,sample_bases,chunk_count,padding_bases,latent_shape,residual_nonzeros,residual_density,csr_residual_bytes,fpzip_latent_bytes,paper_compressed_bytes,compression_ratio,bits_per_base,side_info_bytes,header_huffman_bytes,compression_seconds,decompression_seconds,exact_reconstruction,artifact_dir
EsCo,100000,100000,0,0,100000,79,1278,"[79, 51]",74674,0.7373170876202136,449374,10970,460344,4.60344,36.82752,0,0,0.032978499999444466,0.0059380000002420275,True,outputs\dna_gencoder_prok_fixcheck\prokaryotic_dnacorpus\artifacts\prokaryotic_dnacorpus\EsCo
YeMi,73689,73689,0,0,73689,58,667,"[58, 51]",63471,0.8536096616278445,382072,8303,390375,5.29760208443594,42.38081667548752,0,0,0.026071199999933015,0.004702100000031351,True,outputs\dna_gencoder_prok_fixcheck\prokaryotic_dnacorpus\artifacts\prokaryotic_dnacorpus\YeMi
BuEb,18940,18940,0,0,18940,15,290,"[15, 51]",15287,0.7949557982319293,92796,2195,94991,5.015364308342133,40.122914466737065,0,0,0.00714239999979327,0.0017842999995991704,True,outputs\dna_gencoder_prok_fixcheck\prokaryotic_dnacorpus\artifacts\prokaryotic_dnacorpus\BuEb
AgPh,43970,43970,0,0,43970,35,900,"[35, 51]",35593,0.7932471584577668,214712,4937,219649,4.9954287013873095,39.963429611098476,0,0,0.024256099999547587,0.0027869000005011912,True,outputs\dna_gencoder_prok_fixcheck\prokaryotic_dnacorpus\artifacts\prokaryotic_dnacorpus\AgPh
