split,mode,source_count,total_sample_bytes,total_sample_bases,total_theoretical_bits,total_theoretical_bits_per_base,total_arithmetic_coded_bytes,total_arithmetic_bits_per_base,total_ascii_bytes,total_two_bit_pack_bytes,total_gzip_bytes,total_bz2_bytes,total_lzma_bytes,total_model_forward_seconds,total_softmax_seconds,total_data_transfer_seconds,total_arithmetic_encode_seconds,total_gpu_prefix_aggregate_seconds,total_cpu_small_alphabet_quantize_seconds,total_compression_process_seconds,total_compression_bytes_per_second,total_compression_bases_per_second,total_emitted_arithmetic_symbol_count,total_core_model_theoretical_bits,total_tail_base_count,total_tail_side_info_bits,total_compression_symbols_per_second,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,arithmetic_coding_mode,arithmetic_merge_size
train,windows_nonoverlap,149,14381199,14381052,16714879.269672394,1.1622848780236936,2090374,1.1628490043704731,14381199,3595303,2752653,2659374,2512920,20.392712473214488,0.027480039061629213,0.8289676333661191,91.97716549718461,0.0,60.48318182876392,113.22632564282685,127012.85605050527,127011.5577658602,4793833,16714879.269672394,0,0,42338.50187033514,32768,127,0.01,0.003875732421875,model_symbol,3
val,windows_nonoverlap,149,12287414,12287265,19237848.203601837,1.565673744612966,2405074,1.5658970486922843,12287414,3071867,3315656,3165335,3052392,17.755251208131085,0.023347300972091034,0.7625504296302097,83.69365737005137,0.0,52.85403913301707,102.23480630878475,120188.1672557556,120186.70982647706,4095904,19237848.203601837,0,0,40063.69403810422,32768,127,0.01,0.003875732421875,model_symbol,3
test,windows_nonoverlap,149,12287458,12287301,18911218.052352905,1.5390864155075965,2364157,1.539252273546485,12287458,3071874,3257128,3114280,2991940,17.773608768955455,0.0240717251872411,1.0803584417299135,83.8476064378483,0.0,53.019363443381735,102.72564537372091,119614.31787843852,119612.78953564321,4095916,18911218.052352905,0,0,39872.380310669825,32768,127,0.01,0.003875732421875,model_symbol,3
