split,mode,source_count,total_sample_bytes,total_sample_bases,total_theoretical_bits,total_theoretical_bits_per_base,total_arithmetic_coded_bytes,total_arithmetic_bits_per_base,total_ascii_bytes,total_two_bit_pack_bytes,total_gzip_bytes,total_bz2_bytes,total_lzma_bytes,total_probability_compute_seconds,total_arithmetic_encode_seconds,total_compression_process_seconds,total_compression_bytes_per_second,total_compression_bases_per_second
train,windows_nonoverlap,1,100000,99999,156436.2275390625,1.5643779191698166,19565,1.5652156521565215,100000,25000,27817,26629,25732,1.0501153600635007,0.6138693919638172,1.6639847520273179,60096.70453900787,60096.10357196248
val,windows_nonoverlap,1,100000,99999,176889.45654296875,1.768912254552233,22120,1.7696176961769619,100000,25000,28409,26828,26684,0.12278868991415948,0.6028045000275597,0.7255931899417192,137818.27253372123,137816.8943509959
test,windows_nonoverlap,1,100000,99999,165979.72778320312,1.659813875970791,20755,1.6604166041660418,100000,25000,28143,26732,26168,0.1217448910465464,0.5933727700030431,0.7151176610495895,139837.12813528953,139835.7297640082
