split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
test,train_windows_nonoverlap,DaRe,50000,50000,1.4510029516601564,1.6176,50000,12500,13420,12751,12404,0.8088,0.2022,0.7533532041728763
test,train_windows_nonoverlap,ScPo,50000,50000,1.939180361328125,2.0944,50000,12500,14990,13709,14044,1.0472,0.2618,0.8732488325550367
test,train_windows_nonoverlap,EsCo,50000,50000,1.8866982373046874,2.04544,50000,12500,14851,13619,13944,1.02272,0.25568,0.8608174533701434
test,train_windows_nonoverlap,YeMi,3685,3685,1.7481565229604816,1.9104477611940298,3685,922,1102,1036,1152,0.9552238805970149,0.23880597014925373,0.7985480943738656
test,train_windows_nonoverlap,BuEb,947,947,1.945345627846159,2.0865892291446673,947,237,344,317,432,1.0432946145723336,0.2608236536430834,0.7180232558139535
test,train_windows_nonoverlap,AgPh,2199,2199,1.9341728484538427,2.080945884492951,2199,550,738,675,820,1.0404729422464756,0.2601182355616189,0.7750677506775068
test,train_windows_nonoverlap,GaGa,50000,50000,1.8351146362304687,1.99808,50000,12500,14678,13556,13720,0.99904,0.24976,0.8507971113230686
test,train_windows_nonoverlap,DrMe,50000,50000,1.9019497802734375,2.05712,50000,12500,14204,13631,13132,1.02856,0.25714,0.9051675584342439
test,train_windows_nonoverlap,EnIn,50000,50000,1.869002578125,2.02896,50000,12500,14664,13587,13756,1.01448,0.25362,0.8647708674304418
test,train_windows_nonoverlap,PlFa,50000,50000,1.790792080078125,1.95776,50000,12500,14083,13284,13332,0.97888,0.24472,0.8688489668394518
test,train_windows_nonoverlap,HePy,50000,50000,1.7959324291992187,1.95888,50000,12500,14290,13373,13436,0.97944,0.24486,0.8567529741077676
test,train_windows_nonoverlap,AeCa,50000,50000,1.8484618041992187,2.0088,50000,12500,14776,13599,13680,1.0044,0.2511,0.8496886843530048
test,train_windows_nonoverlap,HaHi,50000,50000,1.837243564453125,1.99648,50000,12500,14635,13384,13684,0.99824,0.24956,0.8526135975401435
test,train_windows_nonoverlap,AnCa,50000,50000,1.6458038708496094,1.81232,50000,12500,14721,13631,13676,0.90616,0.22654,0.769445010529176
test,train_windows_nonoverlap,WaMe,50000,50000,1.9116340625,2.06816,50000,12500,14826,13621,13852,1.03408,0.25852,0.8718467556994469
