split,mode,species,source_name,sample_bytes,sample_bases,arithmetic_bits_per_base,theoretical_bits_per_base,vs_2bit_percent,paper_baseline_percent,paper_baseline_bpb,compression_bases_per_second,compression_mbases_per_second,compression_bytes_per_second,compression_mbytes_per_second
train,windows_nonoverlap,GaGa,GaGa,100000,100000,1.87056,1.8668120678710938,93.528,91.0,1.82,87531.88373015156,0.08753188373015156,87531.88373015156,0.08753188373015156
train,windows_nonoverlap,DrMe,DrMe,100000,100000,1.88008,1.8762848327636719,94.004,93.0,1.86,112116.74575811345,0.11211674575811345,112116.74575811345,0.11211674575811345
train,windows_nonoverlap,EnIn,EnIn,100000,100000,1.89168,1.8877559509277344,94.584,79.0,1.58,113524.82097789233,0.11352482097789234,113524.82097789233,0.11352482097789234
train,windows_nonoverlap,PlFa,PlFa,100000,100000,1.83288,1.828892216796875,91.644,87.0,1.74,111855.49676490162,0.11185549676490161,111855.49676490162,0.11185549676490161
train,windows_nonoverlap,HePy,HePy,100000,100000,1.87664,1.872870517578125,93.83200000000001,91.0,1.82,106400.29526059028,0.10640029526059028,106400.29526059028,0.10640029526059028
train,windows_nonoverlap,AeCa,AeCa,100000,100000,1.94768,1.9439906774902345,97.384,97.0,1.94,109349.18494348173,0.10934918494348173,109349.18494348173,0.10934918494348173
train,windows_nonoverlap,HaHi,HaHi,100000,100000,1.8096,1.805560743408203,90.48,93.0,1.86,107733.91560659598,0.10773391560659598,107733.91560659598,0.10773391560659598
train,windows_nonoverlap,AnCa,AnCa,100000,100000,1.84728,1.8435808337402344,92.364,,,110017.75877663062,0.11001775877663063,110017.75877663062,0.11001775877663063
train,windows_nonoverlap,WaMe,WaMe,100000,100000,1.95216,1.9484532287597656,97.60799999999999,,,111250.38855704191,0.1112503885570419,111250.38855704191,0.1112503885570419
