split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
val,train_windows_nonoverlap,EnIn,100000,100000,1.9380951782226563,1.93976,2097152,19564,0.01,0.009328842163085938,100000,25000,28791,27188,27200,0.96988,0.24247,0.842172901253864
val,train_windows_nonoverlap,PlFa,100000,100000,1.8290649560546874,1.83072,2097152,19564,0.01,0.009328842163085938,100000,25000,27624,26452,26008,0.91536,0.22884,0.8284100781928757
val,train_windows_nonoverlap,HePy,100000,100000,1.9115356201171876,1.9132,2097152,19564,0.01,0.009328842163085938,100000,25000,28041,26785,26308,0.9566,0.23915,0.8528583146107486
val,train_windows_nonoverlap,AeCa,100000,100000,1.961440224609375,1.96304,2097152,19564,0.01,0.009328842163085938,100000,25000,28956,27068,27432,0.98152,0.24538,0.847423677303495
val,train_windows_nonoverlap,HaHi,100000,100000,1.877275732421875,1.87896,2097152,19564,0.01,0.009328842163085938,100000,25000,28340,26538,26704,0.93948,0.23487,0.828757939308398
val,train_windows_nonoverlap,AnCa,100000,100000,1.8898633935546876,1.89152,2097152,19564,0.01,0.009328842163085938,100000,25000,28663,27003,26952,0.94576,0.23644,0.8248962076544675
val,train_windows_nonoverlap,WaMe,100000,100000,1.9672471923828125,1.96888,2097152,19564,0.01,0.009328842163085938,100000,25000,29139,27207,27496,0.98444,0.24611,0.8446068842444834
test,train_windows_nonoverlap,OrSa,100000,100000,1.9154944018554687,1.91712,2097152,19564,0.01,0.009328842163085938,100000,25000,29064,27383,27280,0.95856,0.23964,0.8245251857968621
test,train_windows_nonoverlap,HoSa,100000,100000,1.6402647290039063,1.642,2097152,19564,0.01,0.009328842163085938,100000,25000,28409,26828,26684,0.821,0.20525,0.7224823119433982
test,train_windows_nonoverlap,DaRe,100000,100000,1.86999150390625,1.87168,2097152,19564,0.01,0.009328842163085938,100000,25000,28364,26792,26380,0.93584,0.23396,0.8248483993794952
test,train_windows_nonoverlap,ScPo,100000,100000,1.941521845703125,1.94312,2097152,19564,0.01,0.009328842163085938,100000,25000,25995,26652,24348,0.97156,0.24289,0.9343719946143489
test,train_windows_nonoverlap,EsCo,100000,100000,1.9634901513671874,1.96512,2097152,19564,0.01,0.009328842163085938,100000,25000,28961,27126,27268,0.98256,0.24564,0.8481751320741687
test,train_windows_nonoverlap,YeMi,14739,14739,1.8236484094070153,1.8248185087183662,2097152,19564,0.01,0.009328842163085938,14739,3685,4285,3974,4104,0.9124092543591831,0.22810231358979577,0.7845974329054842
test,train_windows_nonoverlap,BuEb,3788,3788,1.9609265110938325,1.961985216473073,2097152,19564,0.01,0.009328842163085938,3788,947,1244,1114,1300,0.9809926082365364,0.2452481520591341,0.7467845659163987
test,train_windows_nonoverlap,AgPh,8794,8794,1.9616749745920514,1.963156697748465,2097152,19564,0.01,0.009328842163085938,8794,2199,2758,2486,2684,0.9815783488742325,0.2453945872185581,0.7824510514865844
test,train_windows_nonoverlap,GaGa,100000,100000,1.8702128491210936,1.87192,2097152,19564,0.01,0.009328842163085938,100000,25000,28422,26895,26800,0.93596,0.23399,0.8232707057912885
test,train_windows_nonoverlap,DrMe,100000,100000,1.8735835986328124,1.87512,2097152,19564,0.01,0.009328842163085938,100000,25000,28667,27152,26728,0.93756,0.23439,0.8176300275578191
test,train_windows_nonoverlap,EnIn,100000,100000,1.9343121630859375,1.936,2097152,19564,0.01,0.009328842163085938,100000,25000,28651,27161,26864,0.968,0.242,0.8446476562772678
test,train_windows_nonoverlap,PlFa,100000,100000,1.8312985009765625,1.83304,2097152,19564,0.01,0.009328842163085938,100000,25000,27534,26576,25948,0.91652,0.22913,0.8321711338708506
test,train_windows_nonoverlap,HePy,100000,100000,1.9239490161132813,1.9256,2097152,19564,0.01,0.009328842163085938,100000,25000,28072,26762,26408,0.9628,0.2407,0.8574380165289256
test,train_windows_nonoverlap,AeCa,100000,100000,1.952244833984375,1.95384,2097152,19564,0.01,0.009328842163085938,100000,25000,28952,27179,27368,0.97692,0.24423,0.843568665377176
test,train_windows_nonoverlap,HaHi,100000,100000,1.9613758471679688,1.96304,2097152,19564,0.01,0.009328842163085938,100000,25000,29089,27064,27476,0.98152,0.24538,0.8435491079102067
test,train_windows_nonoverlap,AnCa,100000,100000,1.87464548828125,1.87632,2097152,19564,0.01,0.009328842163085938,100000,25000,27659,26863,25828,0.93816,0.23454,0.8479699193752486
test,train_windows_nonoverlap,WaMe,100000,100000,1.9699459033203126,1.9716,2097152,19564,0.01,0.009328842163085938,100000,25000,29187,27236,27612,0.9858,0.24645,0.8443827731524309
