split,mode,species,sample_bytes,sample_bases,sample_symbols_with_eos,theoretical_bits,theoretical_bits_per_base,arithmetic_coded_bytes,arithmetic_bits_per_base,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes
test,legacy,OrSa,100000,100000,25001,192867.23168634548,1.9286723168634547,24158,1.93264,100000,25000,29064,27383,27280
test,legacy,HoSa,100000,100000,25001,186111.02875196387,1.8611102875196386,23313,1.86504,100000,25000,28409,26828,26684
test,legacy,DaRe,100000,100000,25001,187908.18259394175,1.8790818259394175,23539,1.88312,100000,25000,28364,26792,26380
test,legacy,ScPo,100000,100000,25001,194737.18185778824,1.9473718185778823,24392,1.95136,100000,25000,25995,26652,24348
test,legacy,EsCo,100000,100000,25001,197315.143241353,1.9731514324135302,24714,1.97712,100000,25000,28961,27126,27268
test,legacy,YeMi,14739,14736,3685,27689.416536201497,1.8790320667889182,3469,1.8832790445168295,14739,3685,4285,3974,4104
test,legacy,BuEb,3788,3788,948,7438.37166531589,1.9636672822903616,931,1.9662090813093982,3788,947,1244,1114,1300
test,legacy,AgPh,8794,8792,2199,17283.82513150662,1.9658581814725453,2164,1.9690627843494086,8794,2199,2758,2486,2684
