split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,windows_nonoverlap,GaGa,100000,99999,1.7711838568580998,1.7720177201772018,100000,25000,28307,27125,26668,0.8860088600886009,0.2215,0.7824919631186632
val,windows_nonoverlap,GaGa,100000,99999,1.8581114473254108,1.858978589785898,100000,25000,28747,27137,27092,0.929489294892949,0.23237,0.8083278255122274
test,windows_nonoverlap,GaGa,100000,99999,1.821245570854146,1.8220182201822017,100000,25000,28422,26895,26800,0.9110091100911009,0.22775,0.8013158820631905
