split,mode,source_count,total_sample_bytes,total_theoretical_bits,total_theoretical_bits_per_byte,total_arithmetic_coded_bytes,total_arithmetic_bits_per_byte,total_ascii_bytes,total_two_bit_pack_bytes,total_gzip_bytes,total_bz2_bytes,total_lzma_bytes
train,windows_nonoverlap,9,900000,1725626.6240253632,1.9173629155837368,216952,1.9284622222222223,900000,225000,254984,242163,239196
val,windows_nonoverlap,9,862943,1651874.066171127,1.914233114088795,207681,1.9253276288236882,862943,215736,246158,232194,231496
test,windows_nonoverlap,9,862945,1657208.9075934016,1.9204108113418603,208347,1.9314973723701974,862945,215737,245624,232546,230848
